name,vendor,price,category_id,url,picture,availability
"Муфта Fiberpool YAPM087 с внутр. резьбой 63-2""",Fiberpool,449,179,https://aquapolis.ru/mufta-fiberpool-eh3063-c-raz-emnaja-s-vnutr-rezboj-63-2.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/k/r/kripsol_eh30_fiberpool_yapm_2.jpg,false
"Муфта Fiberpool YAPM088 с внутр. резьбой 75-2 1/2"" ",Fiberpool,1289,179,https://aquapolis.ru/mufta-fiberpool-raz-emnaja-s-vnutr-rezboj-75-2-1-2.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/k/r/kripsol_eh30_fiberpool_yapm_3.jpg,true
"Муфта Fiberpool YAPM089 с внутр. резьбой 90-3""",Fiberpool,1733,179,https://aquapolis.ru/mufta-fiberpool-raz-emnaja-s-vnutr-rezboj-90-3.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/k/r/kripsol_eh30_fiberpool_yapm_4.jpg,true
"Насос AquaViva LX SWIM100M 19 м³/ч (1,5HP, 220В)",Aquaviva,15852,89,https://aquapolis.ru/nasos-aquaviva-lx-swim100m-19-m-ch-1-5hp-220v.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/l/x/lx-swim_1.jpg,true
"Насос AquaViva LX SWIM150M 24 м³/ч (2HP, 220В)",Aquaviva,17097,89,https://aquapolis.ru/nasos-aquaviva-lx-swim150m-24-m-ch-2hp-220v.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/l/x/lx-swim_4.jpg,true
"Насос AquaViva LX SWIM025M 4 м³/ч (0,50HP, 220В)",Aquaviva,8266,89,https://aquapolis.ru/nasos-aquaviva-lx-swim025m-4-m-ch-0-50hp-220v.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/l/x/lx-swim_2.jpg,true
"Насос AquaViva LX SWIM035M 6 м³/ч (0,75HP, 220В)",Aquaviva,9058,89,https://aquapolis.ru/nasos-aquaviva-lx-swim035m-6-m-ch-0-75hp-220v.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/l/x/lx-swim_5.jpg,false
"Насос AquaViva LX SWIM050M 12 м³/ч (1HP, 220В)",Aquaviva,9568,89,https://aquapolis.ru/nasos-aquaviva-lx-swim050m-12-m-ch-1hp-220v.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/l/x/lx-swim_3.jpg,false
"Насос AquaViva LX SWIM075M 16 м³/ч (1,2HP, 220В)",Aquaviva,14550,89,https://aquapolis.ru/nasos-aquaviva-lx-swim075m-16-m-ch-1-2hp-220v.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/l/x/lx-swim_6.jpg,true
Насос Fiberpool TT-150l трехфазный (XBTTT015),Fiberpool,23240,89,https://aquapolis.ru/nasos-fiberpool-tt-150l-380v-pf-21-9m3-h-10m-1-6kw-1-5hp.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/1/3/1381.970_1_1.jpg,false
Фильтр AquaViva PS1200 (D1200),Aquaviva,74729,91,https://aquapolis.ru/filtr-aquaviva-d-1200mm-50-3m-chas-bok-podkl-2.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/7/2/722_medium.jpg,true
Фильтр Behncke Cristall 39340003 (D400),Behncke,27221,91,https://aquapolis.ru/filtr-behncke-cristall-d400-6m3-h-400mm-50kg-bok.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/c/r/cristall_39340003.jpg,false
Фильтр Fiberpool BOBBIN D1400 (VFSCN214011),Fiberpool,161506,91,https://aquapolis.ru/filtr-fiberpool-bobbin-vfscn214011-1400mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/f/i/fiber_fb_1.jpg,false
Фильтр Fiberpool BOBBIN D1600 (VFSCN216011),Fiberpool,244291,91,https://aquapolis.ru/filtr-fiberpool-bobbin-vfscn216011-1600mm.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/f/i/fiber_fb_2.jpg,false
Картридж сменный Hayward CX900 RE для фильтров Star Clear,Hayward,8104,91,https://aquapolis.ru/kartridzh-smennyj-hayward-cx900-re-dlja-filtrov-star-clear.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/f/i/filtre-spa_1.jpg,true
Лампа галогеновая AquaViva PAR56-300Вт ,Aquaviva,1189,92,https://aquapolis.ru/lampa-galogenovaja-aquaviva-par56-300vt.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/b/i/big_14567830360.jpeg,true
Дозирующий насос Emec Ph 20 л/ч c авто-регулировкой (TMSPH0420),Emec,67564,124,https://aquapolis.ru/dozirujuschij-nasos-emec-ph-20-l-ch-c-avto-regulirovkoj-tmsph0420.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/4/4/4402_5_1_1.jpg,true
